"Title:","Confirmed Crime Rate from the Offenses Known to Law Enforcement Database"
"SubTitle:","Counties within State - Crime Type*: All Crimes Reported"
"Time:","1980 - 2019"
"Unit of Measure:","Crimes/100,000 People","Crimes/100,000 People","Crimes/100,000 People","Crimes/100,000 People","Crimes/100,000 People","Crimes/100,000 People","Crimes/100,000 People","Crimes/100,000 People","Crimes/100,000 People","Crimes/100,000 People","Crimes/100,000 People","Crimes/100,000 People","Crimes/100,000 People","Crimes/100,000 People","Crimes/100,000 People"
"Citation:","Criminal Justice Information Services Division, Federal Bureau of Investigation, Federal Bureau of Investigation (2020-10-29). Confirmed Crime Rate: Confirmed Crime Rate | Apache, Cochise, Coconino, Gila, Graham, Greenlee, La Paz, Maricopa, Mohave, Navajo, Pima, Pinal, Santa Cruz, Yavapai, Yuma | All Crimes Reported, 1980 - 2019. Data Planet? Statistical Datasets: A SAGE Publishing Resource. (Dataset). Dataset-ID:  010-001-004 doi:https://doi.org/10.6068/DP17C24CF1C654"
"ColumnCount:","16"
"RowCount:","40"

"Time","Apache (Crimes/100 -000 People)","Cochise (Crimes/100 -000 People)","Coconino (Crimes/100 -000 People)","Gila (Crimes/100 -000 People)","Graham (Crimes/100 -000 People)","Greenlee (Crimes/100 -000 People)","La Paz (Crimes/100 -000 People)","Maricopa (Crimes/100 -000 People)","Mohave (Crimes/100 -000 People)","Navajo (Crimes/100 -000 People)","Pima (Crimes/100 -000 People)","Pinal (Crimes/100 -000 People)","Santa Cruz (Crimes/100 -000 People)","Yavapai (Crimes/100 -000 People)","Yuma (Crimes/100 -000 People)"
"2002",1113.3,4096.4,7717.6,4564.5,2428.7,1056.1,4220.9,6402.9,5489.4,3436.2,8218.9,4946.4,3180,4587.3,3510.8
"2003",1213.5,5074.5,7502.3,4347.7,2537.2,1199.1,3531.7,5867.1,6344.7,3797,8330.8,5140.9,2578.9,4407.5,3685.9
"2004",909.9,4769,6702.4,4266.2,2134.3,1447.6,4674.7,5507.9,6308.2,3378.5,8280,5750.9,2511.9,4274.2,3786.9
"2005",1038.6,4557.3,6972.5,4368.8,1146.1,1431.2,4520,5080.8,6145.2,3344.9,6565.8,5641,2119.9,3985,3684.2
"2006",872.3,4481.9,6586.8,4023.3,2096.9,1639.3,4445.1,5098.1,5580.1,2926,4318.4,5683.1,2469.3,3491.2,3636.4
"2007",367.6,4687.5,6099.8,3216,1588.2,1726.4,4145.8,5079.7,5384.3,2866.7,4101.5,4529.4,1988.6,3321.6,3537.8
"2008",767.1,3944.4,5838.6,3603.5,2136.9,2376,3872.7,5004.7,4336.3,3085.9,3949.6,3628.6,2727.6,3077.8,3031.4
"2009",664.9,3840.2,5183.9,5604.3,4777.7,1081.7,3908.6,4457.8,3984.7,3053,3843.9,3775.6,2538.2,2912.6,3223.8
"2010",713.1,3617.9,5196.9,5321.2,1972.1,568.9,3226.1,4510.1,3843.1,3246.2,3891,3362.8,2178.4,3006.1,3225.5
"2011",718.3,3639.5,5386.6,4058.4,1820,420.8,2286,4604.4,3835.3,2971.5,3797.4,3270.8,1919.3,3038.8,2941.2
"2012",9807.2,7595.1,10148.5,8827.8,3648.3,5627.5,8952.6,8829.8,8885.5,5841.7,3783.4,3351.5,1649.5,2981.1,3581.2
"2013",10791.2,2730.1,9798.9,11717.9,2956.3,4921.6,8139.5,8454.8,8546.1,5206.2,6210.9,3222.6,1569.9,2880.8,3673.5
"2014",9745.1,4639.1,10101.2,10448.8,2884.3,2502.7,9002.4,7992.8,8347.9,4680.7,5817.1,2910.6,1794.2,2291.8,3492.3
"2015",10734.4,4845.8,9567.6,10350.5,5073,804.3,8467.7,7742.3,7664.8,4861.5,6068.1,2838.6,1486.6,2872.3,3151.5
"2016",11949,5580.5,9882.2,11082.9,4290.1,2069.4,8372.6,8064.9,8263.4,3509.5,5688.2,2484.5,1600.1,2809,2618.8
"2017",12943.7,6033.5,9621.3,16600.3,4112.6,1301.6,9440.2,8253.8,8409.3,4364.2,5419.2,2503.5,1660.6,2768.2,2976.8
"2018",12301.3,3904.6,8909.8,11949.1,3255.6,1194.2,9683.6,7861.1,7259.7,3852.9,4888.7,2279.4,1588.9,2313,2577.8
"2019",11461.5,4439.5,9191.2,12702.2,3967.4,539.2,6353,7285.6,6978.3,4089,3884.7,2063.8,1475.5,2217.5,2447.1



"Publisher:", "Federal Bureau of Investigation"
"Copyright:", "The data contained in Data Planet(tm): A SAGE Publishing Resource is made available via license agreement with subscribing organizations. Your organization's license may vary from this version."
